age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
19,Private,51462,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,36,0,40,United-States,<=50K
47,Private,121083,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,22,0,40,United-States,<=50K
43,Private,104264,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,89033,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,<=50K
26,Private,80876,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,40,United-States,<=50K
32,Private,113873,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,99805,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,24,1,40,United-States,<=50K
29,Private,87880,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
24,Private,131811,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
25,Private,93051,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,13,0,40,United-States,<=50K
28,Private,143009,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,110263,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,133600,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5,0,40,United-States,<=50K
31,Private,95192,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,48,0,40,United-States,<=50K
29,Private,123570,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,40,United-States,<=50K
30,Private,147584,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,97129,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,34,0,40,United-States,<=50K
44,Private,115879,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,126428,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,102810,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,115522,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,10,0,40,United-States,<=50K
24,Private,83936,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
30,Private,98047,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,17,0,40,United-States,<=50K
26,Private,126535,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,34,0,40,United-States,<=50K
26,Private,97982,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,18,0,40,United-States,<=50K
30,Private,107710,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,149440,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,0,40,United-States,<=50K
34,Private,105341,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,17,0,40,United-States,<=50K
34,Private,112094,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
37,Private,98993,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,23,0,40,United-States,<=50K
34,Private,91079,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,103535,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,93021,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,120801,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,33,1,40,United-States,<=50K
29,Private,141621,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,41,0,40,United-States,<=50K
25,Private,50379,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,40,United-States,<=50K
28,Private,102622,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,27,0,40,United-States,<=50K
23,Private,118244,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,132759,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,77508,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,20,1,40,United-States,<=50K
31,Private,108180,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,<=50K
28,Private,111641,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,17,0,40,United-States,<=50K
29,Private,124628,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,21,0,40,United-States,<=50K
35,Private,106759,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5,1,40,United-States,<=50K
35,Private,87325,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,11,0,40,United-States,<=50K
31,Private,133444,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,98837,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,155371,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,21,0,40,United-States,<=50K
43,Private,111751,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
29,Private,142650,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,38,0,40,United-States,<=50K
30,Private,100384,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,1,40,United-States,<=50K
33,Private,101297,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,5,0,40,United-States,<=50K
29,Private,108044,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,40,United-States,<=50K
23,Private,115753,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
33,Private,116143,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
30,Private,123632,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,119309,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,36,0,40,United-States,<=50K
41,Private,129293,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,94156,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,131011,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,93261,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,36,0,40,United-States,<=50K
47,Private,154081,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
31,Private,117899,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,<=50K
39,Private,109987,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,79633,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,113350,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,26,0,40,United-States,<=50K
45,Private,91862,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,124843,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,United-States,<=50K
33,Private,76551,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,161751,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,17,0,40,United-States,<=50K
28,Private,125769,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,89661,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,98554,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,176735,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,11,0,40,United-States,<=50K
47,Private,72899,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,12,0,40,United-States,<=50K
24,Private,107357,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,8,0,40,United-States,<=50K
20,Private,172115,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
42,Private,115542,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,107497,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30,0,40,United-States,<=50K
25,Private,112251,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,40,United-States,<=50K
41,Private,114416,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,17,0,40,United-States,<=50K
43,Private,72484,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,26,0,40,United-States,<=50K
29,Private,112538,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,122645,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,18,0,40,United-States,<=50K
28,Private,96833,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,<=50K
31,Private,97823,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,10,0,40,United-States,<=50K
28,Private,123739,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,85966,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,80469,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,40,United-States,<=50K
26,Private,121788,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,16,0,40,United-States,<=50K
32,Private,95089,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,98819,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
45,Private,94441,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1,40,United-States,<=50K
27,Private,86201,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,14,1,40,United-States,<=50K
32,Private,95480,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,55,0,40,United-States,<=50K
35,Private,105630,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,41,0,40,United-States,<=50K
27,Private,116819,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
29,Private,92718,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,17,0,40,United-States,<=50K
36,Private,131982,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,92756,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,49,0,40,United-States,<=50K
35,Private,81073,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,107941,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,135808,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,10,0,40,United-States,<=50K
29,Private,100641,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,19,0,40,United-States,<=50K
34,Private,104808,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,143391,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,110456,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7,0,40,United-States,<=50K
30,Private,100236,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,95151,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
53,Private,104374,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,19,0,40,United-States,<=50K
