age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
32, Private,254852, Bachelors,12, Widowed, Tech-support, Other-relative, Other, Female,-82,-8,40, United-States, <=50K
61, Private,31615, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-141,-2,49, United-States, >50K
22, ?,90803, Some-college,10, Never-married, ?, Unmarried, Black, Female,-217,-14,23, United-States, <=50K
38, ?,198735, Assoc-voc,7, Never-married, ?, Not-in-family, Black, Female,-202,-1,40, United-States, <=50K
21, Private,31922, HS-grad,17, Widowed, ?, Unmarried, White, Male,-77,-4,22, United-States, <=50K
43, Private,102497, HS-grad,7, Widowed, ?, Other-relative, Black, Female,-9,-5,40, Japan, <=50K
57, Private,99747, Masters,11, Married-civ-spouse, Craft-repair, Husband, White, Male,-87,3,50, United-States, >50K
75, Private,147593, HS-grad,15, Never-married, Other-service, Wife, White, Female,-123,-6,40, United-States, <=50K
34, Private,180098, Assoc-acdm,9, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Female,-42,-1,40, United-States, <=50K
17, Private,128704, 10th,17, Married-civ-spouse, Craft-repair, Husband, White, Male,-60,-8,40, Mexico, <=50K
69, Private,110137, Bachelors,9, Divorced, Armed-Forces, Other-relative, White, Female,-198,9,40, United-States, <=50K
60, Private,85569, Some-college,8, Divorced, Other-service, Own-child, White, Female,-195,-5,35, United-States, <=50K
41, Private,240628, HS-grad,7, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,-147,2,7, United-States, <=50K
20, Private,118463, 11th,7, Never-married, Transport-moving, Not-in-family, White, Female,0,-2,40, United-States, <=50K
34, Self-emp-inc,108108, Masters,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,3770,-9,61, United-States, >50K
59, Private,28298, Prof-school,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-27,-5,57, United-States, >50K
51, Private,162723, 7th-8th,9, Divorced, ?, Not-in-family, White, Male,-219,-1,6, United-States, <=50K
52, Local-gov,148248, Some-college,9, Divorced, Priv-house-serv, Husband, White, Male,-123,-6,25, Germany, <=50K
47, Private,159271, HS-grad,10, Never-married, Sales, Unmarried, White, Female,-86,-7,32, United-States, <=50K
35, Private,361688, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,886,0,13, United-States, <=50K
42, Private,20161, Bachelors,9, Divorced, Adm-clerical, Unmarried, White, Female,-255,-2,50, United-States, <=50K
17, Private,155019, Some-college,10, Never-married, ?, Other-relative, White, Female,-282,-9,40, United-States, <=50K
31, Private,108645, 5th-6th,9, Widowed, Craft-repair, Other-relative, White, Female,-298,-12,40, United-States, <=50K
28, Private,231114, HS-grad,10, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,-228,0,47, United-States, <=50K
29, Private,93226, HS-grad,14, Widowed, ?, Unmarried, White, Female,-36,-6,26, ?, <=50K
50, Private,163868, 11th,9, Divorced, Farming-fishing, Own-child, Black, Female,-163,-7,49, United-States, <=50K
36, Private,153481, 11th,10, Divorced, Other-service, Unmarried, White, Male,-58,-2,61, United-States, <=50K
68, Private,228665, 11th,10, Widowed, Other-service, Unmarried, Black, Female,9,-3,40, Dominican-Republic, <=50K
52, Self-emp-inc,74781, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,-111,-3,50, United-States, >50K
47, Private,65984, HS-grad,13, Divorced, Transport-moving, Unmarried, White, Female,-154,3,40, United-States, <=50K
33, Self-emp-not-inc,151320, Some-college,6, Never-married, Sales, Wife, White, Female,-150,-5,33, United-States, <=50K
77, ?,151391, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,-301,-4,40, United-States, <=50K
38, Private,88640, 10th,10, Never-married, Adm-clerical, Not-in-family, Black, Female,-243,5,25, United-States, <=50K
38, Self-emp-inc,74938, Assoc-acdm,9, Married-civ-spouse, Tech-support, Husband, White, Male,-76,-4,51, United-States, >50K
43, Private,68959, 10th,13, Married-civ-spouse, Sales, Husband, White, Male,-36,-1,37, Iran, <=50K
35, Private,156755, 5th-6th,7, Never-married, Craft-repair, Wife, White, Male,-289,-7,33, United-States, <=50K
41, Private,92029, HS-grad,8, Never-married, Other-service, Wife, White, Female,-298,-3,25, United-States, <=50K
53, ?,239526, Some-college,9, Never-married, ?, Unmarried, White, Female,-268,-13,29, United-States, <=50K
67, Private,118601, 9th,7, Never-married, Adm-clerical, Unmarried, Black, Female,-176,5,40, United-States, <=50K
56, Private,265007, HS-grad,7, Never-married, Tech-support, Own-child, White, Female,-171,-10,42, United-States, <=50K
36, Private,169165, Some-college,9, Never-married, Adm-clerical, Not-in-family, White, Female,-310,3,59, United-States, <=50K
35, Private,154336, 7th-8th,6, Never-married, Exec-managerial, Unmarried, Black, Male,-213,0,40, United-States, <=50K
57, Private,98363, Some-college,7, Divorced, Adm-clerical, Not-in-family, White, Female,-194,5,40, United-States, <=50K
57, Private,238186, 5th-6th,9, Divorced, ?, Own-child, White, Female,-150,-1,32, United-States, <=50K
62, Private,223962, HS-grad,16, Married-civ-spouse, Sales, Husband, White, Male,2261,2004,50, United-States, >50K
26, Self-emp-not-inc,114275, Bachelors,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,-72,0,59, United-States, >50K
49, Private,148711, Doctorate,10, Divorced, Machine-op-inspct, Wife, White, Female,-159,13,40, United-States, <=50K
38, Private,208843, Some-college,10, Divorced, ?, Not-in-family, White, Female,-208,3,40, United-States, <=50K
24, Private,395841, Some-college,10, Divorced, Craft-repair, Own-child, White, Female,247,-6,40, United-States, <=50K
41, ?,166992, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-64,-2,61, United-States, >50K
51, Private,177220, 11th,9, Widowed, Adm-clerical, Not-in-family, Black, Female,-187,-1,34, Mexico, <=50K
49, Local-gov,133995, Assoc-acdm,13, Never-married, Sales, Husband, White, Male,-27,-2,24, Canada, <=50K
33, Private,244688, Doctorate,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,-37,-11,41, Mexico, <=50K
64, Private,132982, Bachelors,9, Married-civ-spouse, Other-service, Husband, White, Male,-71,-3,61, United-States, >50K
22, Private,63720, 10th,8, Widowed, Sales, Unmarried, White, Female,-159,3,40, United-States, <=50K
49, Self-emp-not-inc,311986, Masters,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,-182,-4,40, United-States, <=50K
38, Private,54951, 9th,7, Never-married, Adm-clerical, Not-in-family, Black, Female,-270,-1,40, United-States, <=50K
24, Private,116670, Some-college,6, Never-married, Adm-clerical, Own-child, White, Female,-171,-8,43, United-States, <=50K
