age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
23,Private,125819,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,1,40,United-States,<=50K
22,Private,94638,HS-grad,9,Never-married,Other-service,Own-child,White,Male,2,0,40,United-States,<=50K
30,Private,156171,HS-grad,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
43,Private,125968,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,14,0,40,United-States,<=50K
23,Private,155857,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,1,40,United-States,<=50K
45,Private,77157,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,78113,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,21,1,40,United-States,<=50K
25,Private,152522,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
41,Private,137722,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1,40,United-States,<=50K
27,Private,99457,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
24,Private,129183,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,106401,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,12,0,40,United-States,<=50K
35,Private,123524,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,152830,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,8,0,40,United-States,<=50K
26,Private,165243,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,5,0,40,United-States,<=50K
34,Private,108001,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,11,0,40,United-States,<=50K
35,Private,141392,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,21,0,40,United-States,<=50K
34,Private,136050,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,100252,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,120010,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,21,0,40,United-States,<=50K
29,Private,130258,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,133185,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,184029,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,15,0,40,United-States,<=50K
36,Private,133313,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,67288,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
44,Private,120899,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,14,0,40,United-States,<=50K
27,Private,98725,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Private,109217,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,United-States,<=50K
23,Private,131442,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,1,40,United-States,<=50K
39,Private,166492,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,210140,HS-grad,9,Never-married,Other-service,Own-child,White,Male,1,0,40,United-States,<=50K
45,Private,83953,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,91663,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,7,0,40,United-States,<=50K
39,Private,94964,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,69691,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,16,0,40,United-States,<=50K
28,Private,127310,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,149563,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,175069,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
