age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43, Self-emp-inc,226807, Masters,13, Married-civ-spouse, Transport-moving, Husband, White, Male,90,-3,45, United-States, >50K
35, Private,31986, Bachelors,14, Widowed, Handlers-cleaners, Wife, White, Male,-121,9,40, Cuba, <=50K
33, Self-emp-not-inc,57439, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,54,-3,60, United-States, >50K
49, Private,97475, Some-college,16, Married-civ-spouse, Sales, Wife, White, Female,-29,-1,40, United-States, <=50K
49, Private,32845, Some-college,10, Never-married, Sales, Wife, White, Female,24,1,40, United-States, <=50K
32, Private,32668, Masters,11, Married-civ-spouse, Exec-managerial, Wife, White, Male,-22,0,40, Cambodia, <=50K
36, Private,213447, HS-grad,3, Never-married, Handlers-cleaners, Own-child, White, Female,-116,8,40, United-States, <=50K
36, Private,55756, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,-3,9,40, United-States, <=50K
45, Private,174818, Doctorate,9, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,69,-5,44, United-States, <=50K
28, Private,167669, 10th,9, Never-married, Adm-clerical, Own-child, White, Female,11,4,40, United-States, <=50K
48, Private,102872, Bachelors,15, Married-civ-spouse, Sales, Husband, White, Male,13185,-6,57, United-States, >50K
46, Local-gov,258025, Some-college,3, Never-married, Protective-serv, Own-child, White, Male,-27,1,40, Puerto-Rico, <=50K
30, Private,38980, 11th,10, Never-married, Adm-clerical, Not-in-family, White, Male,-60,8,40, United-States, <=50K
26, Private,38766, 11th,10, Divorced, Adm-clerical, Not-in-family, White, Female,-19,4,40, United-States, <=50K
41, Private,280963, 7th-8th,10, Married-civ-spouse, ?, Wife, White, Female,-139,13,43, Honduras, <=50K
47, Private,118266, Masters,9, Divorced, Transport-moving, Not-in-family, White, Female,65,3,40, United-States, <=50K
