age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
40, Private,-9748, Assoc-voc,5, Divorced, Exec-managerial, Unmarried, Other, Male,335,-28,45, United-States, <=50K
35, Self-emp-inc,87414, Some-college,7, Never-married, Transport-moving, Own-child, White, Male,14023,-7,45, United-States, <=50K
26, Private,11588, Assoc-voc,4, Never-married, Transport-moving, Husband, Asian-Pac-Islander, Female,248,-54,24, United-States, >50K
46, Private,232780, 12th,11, Married-civ-spouse, Adm-clerical, Husband, White, Female,319,2,48, United-States, <=50K
63, Private,22145, HS-grad,10, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,-12,-12,38, United-States, <=50K
33, Local-gov,135980, Prof-school,8, Married-civ-spouse, Protective-serv, Unmarried, Black, Female,-252,-54,38, United-States, <=50K
67, Private,122916, HS-grad,8, Married-civ-spouse, Transport-moving, Husband, White, Female,266,19,37, United-States, >50K
39, ?,-83298, Bachelors,3, Divorced, Exec-managerial, Own-child, White, Female,-632,-72,43, United-States, <=50K
30, Private,319131, HS-grad,18, Never-married, Exec-managerial, Own-child, White, Male,-495,16,8, United-States, >50K
40, Private,171821, Some-college,8, Divorced, Craft-repair, Wife, White, Male,-91,-16,16, China, >50K
36, Private,244745, 12th,9, Divorced, Transport-moving, Own-child, White, Male,16111,-33,52, United-States, <=50K
46, Self-emp-not-inc,82540, 7th-8th,5, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,179,-16,60, United-States, <=50K
47, State-gov,214931, Some-college,14, Married-civ-spouse, Sales, Husband, Black, Male,-12,39,16, El-Salvador, >50K
23, Self-emp-inc,137227, HS-grad,13, Divorced, Other-service, Not-in-family, White, Female,235,-23,44, United-States, <=50K
49, Private,81560, HS-grad,15, Married-civ-spouse, Sales, Own-child, White, Male,-331,-56,42, United-States, <=50K
25, Private,86869, HS-grad,12, Divorced, Prof-specialty, Unmarried, White, Female,40,-61,37, United-States, >50K
24, Private,94563, Assoc-acdm,15, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,-234,2,50, United-States, <=50K
34, Self-emp-not-inc,146042, Some-college,7, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Female,3953,17,-1, United-States, >50K
24, Local-gov,131437, 7th-8th,6, Never-married, Adm-clerical, Unmarried, White, Female,3054,-35,21, United-States, >50K
59, Local-gov,31972, Masters,13, Widowed, Exec-managerial, Own-child, Other, Male,-304,13,0, Puerto-Rico, <=50K
81, Private,81956, Some-college,10, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,-247,8,36, United-States, >50K
60, Private,213862, HS-grad,9, Married-civ-spouse, Sales, Own-child, Black, Female,225,28,40, United-States, >50K
28, Private,77598, HS-grad,16, Married-civ-spouse, ?, Husband, White, Female,-325,-53,42, United-States, <=50K
52, Local-gov,126192, Some-college,9, Never-married, Sales, Husband, Amer-Indian-Eskimo, Male,-65,-4,-3, United-States, <=50K
43, Private,-16364, HS-grad,12, Divorced, Craft-repair, Unmarried, White, Male,-534,-38,38, United-States, <=50K
36, Local-gov,171867, HS-grad,9, Widowed, Sales, Wife, White, Female,-395,-44,46, United-States, <=50K
42, Private,103618, Doctorate,11, Married-civ-spouse, Other-service, Not-in-family, White, Female,-84,28,40, United-States, >50K
61, Private,257202, Prof-school,10, Never-married, Prof-specialty, Wife, White, Female,75,-30,51, United-States, >50K
39, Private,535435, Assoc-voc,10, Married-spouse-absent, Craft-repair, Other-relative, Black, Male,-76,-37,22, Mexico, <=50K
24, Federal-gov,188215, Some-college,3, Divorced, Transport-moving, Not-in-family, White, Female,8993,10,37, United-States, >50K
31, ?,138502, Assoc-voc,4, Widowed, Tech-support, Husband, Asian-Pac-Islander, Male,213,6,37, United-States, >50K
