age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
47, Private,101508, Masters,15, Married-AF-spouse, Craft-repair, Other-relative, White, Female,-88,33,34, United-States, <=50K
31, Self-emp-not-inc,429001, Bachelors,9, Widowed, Prof-specialty, Wife, White, Male,-74,-24,40, United-States, <=50K
23, Self-emp-inc,102226, Bachelors,9, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,-131,-48,15, United-States, <=50K
40, Private,442523, Some-college,9, Divorced, Tech-support, Husband, White, Female,-167,-4,-14, United-States, <=50K
12, Private,170523, 11th,8, Married-civ-spouse, Adm-clerical, Wife, White, Female,-507,-33,27, United-States, <=50K
25, Private,181620, Some-college,7, Divorced, Other-service, Not-in-family, White, Male,-82,-37,41, United-States, >50K
46, Private,178681, Some-college,10, Divorced, Exec-managerial, Husband, Black, Female,-356,-35,30, El-Salvador, <=50K
51, Federal-gov,129782, 11th,8, Married-civ-spouse, Other-service, Wife, White, Male,-504,-40,40, United-States, <=50K
49, Private,136748, HS-grad,11, Widowed, Other-service, Wife, Asian-Pac-Islander, Female,-355,-82,41, United-States, <=50K
26, Private,266318, 7th-8th,4, Married-civ-spouse, Craft-repair, Wife, White, Male,-258,-46,41, United-States, <=50K
27, Self-emp-not-inc,260582, Assoc-acdm,8, Married-civ-spouse, Craft-repair, Unmarried, White, Female,-434,-74,39, United-States, <=50K
25, Federal-gov,384780, 11th,11, Widowed, Sales, Unmarried, White, Male,-367,14,37, Philippines, <=50K
27, Private,187775, HS-grad,10, Separated, Exec-managerial, Wife, White, Female,-451,-80,42, United-States, <=50K
34, Federal-gov,326025, Masters,13, Never-married, Craft-repair, Own-child, Black, Female,-379,-21,41, United-States, <=50K
48, Local-gov,177459, HS-grad,10, Married-civ-spouse, Craft-repair, Other-relative, White, Male,-233,-43,29, United-States, <=50K
28, Self-emp-inc,209031, 10th,7, Married-civ-spouse, Other-service, Husband, White, Male,-215,835,38, United-States, <=50K
16, Private,214892, Some-college,5, Divorced, Priv-house-serv, Wife, White, Female,-354,-32,44, United-States, <=50K
42, Private,52785, Some-college,9, Married-civ-spouse, Other-service, Own-child, White, Male,-80,-17,39, United-States, >50K
19, Private,255829, 11th,11, Never-married, Adm-clerical, Not-in-family, White, Female,-253,22,20, ?, <=50K
41, Private,325086, Bachelors,16, Never-married, Prof-specialty, Not-in-family, White, Female,-3720,-11,48, El-Salvador, <=50K
46, Private,237460, Some-college,11, Married-civ-spouse, Farming-fishing, Own-child, Black, Male,-91,13,41, United-States, <=50K
26, Self-emp-not-inc,177946, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Female,-380,-40,43, United-States, <=50K
22, Private,110096, Some-college,7, Never-married, Sales, Unmarried, White, Female,-254,-35,39, United-States, >50K
22, Self-emp-inc,92546, Some-college,9, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,29,-39,34, United-States, >50K
21, Private,631863, HS-grad,4, Married-civ-spouse, Transport-moving, Husband, White, Female,-190,-14,37, United-States, <=50K
34, Federal-gov,236578, Some-college,17, Married-civ-spouse, ?, Wife, White, Female,-526,-81,40, United-States, <=50K
40, Private,351617, Some-college,10, Divorced, Sales, Husband, White, Male,85,22,36, United-States, <=50K
27, Private,153108, Some-college,8, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,-178,-17,39, United-States, <=50K
