age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
46, Private,92553, HS-grad,10, Divorced, Craft-repair, Other-relative, White, Female,-122,2114,37, United-States, <=50K
49, Private,88572, 5th-6th,5, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Male,-165,32,47, United-States, <=50K
54, Private,159175, 7th-8th,5, Married-civ-spouse, Adm-clerical, Own-child, White, Female,-431,1470,37, United-States, <=50K
56, Local-gov,171730, Bachelors,10, Divorced, Craft-repair, Unmarried, White, Male,-25,19,42, El-Salvador, <=50K
44, Private,65755, Some-college,11, Widowed, Other-service, Unmarried, White, Female,-236,48,42, United-States, <=50K
50, Private,64302, 9th,8, Divorced, Other-service, Husband, White, Female,-469,21,36, ?, <=50K
45, Private,28173, HS-grad,3, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,-308,50,46, United-States, <=50K
59, State-gov,169027, HS-grad,11, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Female,-443,-17,42, United-States, <=50K
26, Private,-3797, Some-college,5, Divorced, Other-service, Husband, White, Male,-212,74,43, United-States, <=50K
43, Private,202015, Some-college,7, Married-civ-spouse, Prof-specialty, Wife, White, Female,-273,41,45, United-States, >50K
30, Private,197077, 5th-6th,9, Married-AF-spouse, Machine-op-inspct, Unmarried, White, Female,-535,-36,13, United-States, <=50K
83, Private,3904, Some-college,3, Never-married, Exec-managerial, Own-child, White, Male,-128,48,23, United-States, <=50K
46, Private,64881, HS-grad,8, Married-civ-spouse, Sales, Wife, White, Male,-141,59,41, United-States, <=50K
80, Private,87675, 12th,4, Married-civ-spouse, Sales, Own-child, White, Male,-52,33,25, El-Salvador, <=50K
53, Private,116500, 12th,5, Divorced, Machine-op-inspct, Other-relative, White, Female,1843,1122,49, Puerto-Rico, <=50K
73, Private,96757, Some-college,7, Married-civ-spouse, Craft-repair, Husband, White, Male,4,55,41, United-States, <=50K
46, Private,118751, Masters,4, Married-AF-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,-188,16,38, United-States, <=50K
37, Private,144922, Some-college,9, Divorced, Other-service, Wife, White, Male,24,46,20, United-States, <=50K
45, Federal-gov,139153, Assoc-acdm,4, Married-civ-spouse, Craft-repair, Own-child, White, Male,-289,63,43, United-States, <=50K
28, Private,20965, Some-college,3, Married-AF-spouse, Craft-repair, Husband, White, Female,-399,2311,62, United-States, <=50K
44, ?,177646, Some-college,3, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,-83,61,4, Mexico, <=50K
52, Self-emp-inc,158847, Some-college,14, Divorced, ?, Not-in-family, White, Male,-252,34,44, United-States, <=50K
58, Self-emp-not-inc,50144, Masters,4, Divorced, Sales, Own-child, White, Male,-254,14,43, ?, <=50K
40, Private,65430, Some-college,8, Married-civ-spouse, Adm-clerical, Husband, White, Female,-412,1280,22, United-States, <=50K
73, Private,79891, Some-college,9, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,-200,43,56, United-States, <=50K
53, Self-emp-not-inc,38756, HS-grad,3, Married-spouse-absent, ?, Other-relative, Black, Female,-451,81,37, United-States, >50K
54, Private,309105, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,-328,-12,27, United-States, <=50K
48, Self-emp-not-inc,7913, Some-college,4, Divorced, Sales, Own-child, White, Female,1952,23,50, United-States, <=50K
60, Self-emp-inc,68238, 5th-6th,6, Never-married, ?, Not-in-family, White, Female,245,-9,0, United-States, <=50K
54, Self-emp-not-inc,215400, Some-college,11, Never-married, Other-service, Husband, Black, Male,-502,7,43, United-States, <=50K
72, Private,137040, Some-college,11, Married-civ-spouse, Sales, Not-in-family, White, Female,-503,-28,30, El-Salvador, <=50K
50, Local-gov,177220, HS-grad,6, Married-civ-spouse, ?, Husband, White, Male,76,35,23, Mexico, <=50K
