age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
33,Private,75127,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4,1,40,United-States,<=50K
20,Private,66015,Some-college,12,Never-married,Sales,Own-child,White,Male,1,1,40,United-States,<=50K
39,Private,87451,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,5,0,40,United-States,<=50K
20,Private,90802,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,14,0,40,United-States,<=50K
22,Private,142481,Some-college,10,Never-married,Other-service,Own-child,White,Female,10,0,22,United-States,<=50K
33,Private,137436,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,137532,11th,5,Never-married,?,Own-child,White,Female,29,0,20,United-States,<=50K
19,Private,197511,HS-grad,9,Never-married,Other-service,Own-child,White,Female,7,0,40,United-States,<=50K
43,Private,83265,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
29,Private,98014,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,15,0,40,United-States,<=50K
41,Private,83870,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,10,0,40,United-States,<=50K
51,Private,122899,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,111323,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,12,0,40,United-States,<=50K
21,?,39749,11th,7,Never-married,?,Own-child,White,Female,0,1,21,United-States,<=50K
44,Private,114293,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,40,United-States,>50K
26,Private,124572,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Female,5,0,40,United-States,<=50K
45,Private,107675,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,11,0,51,United-States,>50K
43,Private,80416,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,131498,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,15,0,40,United-States,<=50K
65,Private,97695,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,15,0,40,United-States,>50K
33,Private,145735,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,152448,Bachelors,13,Never-married,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
50,Private,120353,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
29,Private,91001,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,85031,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,17,0,40,United-States,<=50K
31,Private,126162,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,12,0,40,United-States,<=50K
24,Private,119161,12th,7,Never-married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,141847,Bachelors,13,Never-married,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
42,Private,103741,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,9,1,40,United-States,>50K
34,Private,96345,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5,0,40,United-States,<=50K
25,Private,124561,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,1,40,United-States,<=50K
43,Private,147364,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
43,Private,102995,Assoc-voc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,40,United-States,<=50K
37,Private,109311,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,96632,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,6,0,40,United-States,<=50K
19,Private,114192,11th,5,Never-married,Other-service,Own-child,White,Female,10,0,23,United-States,<=50K
43,Private,91665,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,62183,Some-college,10,Never-married,Sales,Not-in-family,White,Male,4,1,40,United-States,<=50K
20,Private,94045,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,4,0,25,United-States,<=50K
46,Private,122696,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,8,0,40,United-States,>50K
26,Private,81870,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,1,40,United-States,<=50K
21,Private,111685,11th,7,Never-married,Other-service,Own-child,White,Male,13,0,40,United-States,<=50K
