age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
27,Private,48353,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,18,0,40,United-States,<=50K
33,Private,140871,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White,Male,18,0,40,United-States,<=50K
30,Private,120989,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,1,0,40,United-States,<=50K
19,Private,53955,Some-college,10,Never-married,Other-service,Own-child,White,Female,8,1,40,United-States,<=50K
26,Private,84572,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,1,40,United-States,<=50K
33,Private,110415,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
43,Private,98812,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,21,1,40,United-States,>50K
30,Private,68426,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,5,1,40,United-States,<=50K
29,Private,133690,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,1,40,United-States,<=50K
44,Private,109652,Some-college,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,6,0,40,United-States,<=50K
27,Private,122981,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,111806,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,116568,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,5,0,40,United-States,<=50K
34,Private,91878,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30,0,40,United-States,<=50K
27,Private,86648,HS-grad,7,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,40,United-States,<=50K
26,Private,150770,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Private,111630,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,24,0,40,United-States,>50K
27,Private,135839,HS-grad,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
45,Private,119675,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,107491,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Private,107671,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,5,0,40,United-States,<=50K
26,Private,105678,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,1,40,United-States,<=50K
36,Private,118920,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,9,0,40,United-States,<=50K
30,Private,95502,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,23,0,40,United-States,<=50K
26,Private,106225,HS-grad,3,Never-married,Sales,Not-in-family,White,Male,14,0,40,United-States,<=50K
26,Private,91218,HS-grad,7,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Private,139618,Some-college,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,26,0,40,United-States,<=50K
25,Private,109301,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,13,0,40,United-States,<=50K
22,Private,126205,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,1,40,United-States,<=50K
28,Private,129928,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,17,0,40,United-States,<=50K
31,Private,120411,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,89757,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,84331,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,137077,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,18,0,40,United-States,<=50K
38,Private,160461,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,26,0,40,United-States,<=50K
44,Private,62568,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,8,0,40,United-States,<=50K
45,Private,96675,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,17,0,40,United-States,<=50K
29,Private,121567,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,106398,Some-college,10,Never-married,Sales,Not-in-family,White,Male,5,0,40,United-States,<=50K
30,Private,76267,Some-college,10,Never-married,Sales,Not-in-family,White,Male,12,1,40,United-States,<=50K
28,Private,112600,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,130220,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,0,40,United-States,<=50K
43,Private,127479,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,19,0,40,United-States,>50K
48,Private,71418,Assoc-voc,4,Divorced,Prof-specialty,Not-in-family,White,Female,7,1,40,United-States,<=50K
29,Private,110336,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,40,United-States,<=50K
30,Private,101806,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Private,99952,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,<=50K
42,Private,56079,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,22,0,40,United-States,>50K
