age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
25,Private,175263,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
39,Private,156710,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,212748,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7,0,40,United-States,<=50K
44,Private,105368,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,150616,Some-college,10,Never-married,Other-service,Own-child,White,Female,18,1,40,United-States,<=50K
27,Private,198797,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,30,0,40,United-States,<=50K
30,Private,128723,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,14,0,40,United-States,<=50K
27,Private,193125,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,188150,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,0,40,United-States,<=50K
43,Private,145028,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,16,0,40,United-States,>50K
42,Private,99943,HS-grad,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,187060,HS-grad,9,Never-married,Other-service,Own-child,White,Female,27,0,40,United-States,<=50K
24,Private,130500,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,180261,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,98169,Some-college,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
24,Private,173775,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,28,1,40,United-States,<=50K
37,Private,147737,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,38,0,40,United-States,<=50K
21,Private,193986,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,8,0,40,United-States,<=50K
22,Private,171869,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,26,0,40,United-States,<=50K
42,Private,152853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,40,United-States,>50K
24,Private,223324,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
44,Private,85019,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,22,0,40,United-States,<=50K
38,Private,191386,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,93556,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,40,United-States,<=50K
22,Private,67268,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,22,1,40,United-States,<=50K
42,Private,103646,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,104941,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,14,1,40,United-States,<=50K
27,Private,215811,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
35,Private,200325,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,51168,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,19,1,40,United-States,<=50K
31,Private,198948,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
29,Private,131717,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,31,0,40,United-States,<=50K
30,Private,96868,Some-college,13,Never-married,Prof-specialty,Not-in-family,White,Male,19,0,40,United-States,<=50K
41,Private,105218,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,8,0,40,United-States,<=50K
27,Private,195567,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7,0,40,United-States,<=50K
43,Private,114593,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
34,Private,200051,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,99883,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,1,40,United-States,<=50K
27,Private,156439,Some-college,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,36,0,40,United-States,<=50K
43,Private,149915,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
43,Private,107040,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,151772,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,101188,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,34,0,40,United-States,<=50K
35,Private,214728,HS-grad,10,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
