age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
41,Private,95531,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,33,0,40,United-States,<=50K
27,Private,102807,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,107447,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,140023,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,6,0,40,United-States,<=50K
23,Private,124524,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,2,0,40,United-States,<=50K
26,Private,120643,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Private,114858,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Private,122106,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,10,0,40,United-States,<=50K
37,Private,126466,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
43,Private,68369,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,105750,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,19,0,40,United-States,<=50K
29,Private,100052,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,Private,86936,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,0,40,United-States,<=50K
31,Private,153073,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,3,0,40,United-States,<=50K
26,Private,58481,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,24,0,40,United-States,<=50K
25,Private,116356,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
27,Private,92501,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,<=50K
24,Private,87659,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,33,0,40,United-States,<=50K
24,Private,123584,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
23,Private,128143,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,8,0,40,United-States,<=50K
26,Private,200762,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,13,0,40,United-States,<=50K
30,Private,101451,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,80037,Some-college,10,Never-married,Other-service,Own-child,White,Female,5,0,40,United-States,<=50K
48,Private,123907,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,91699,Some-college,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,163473,Some-college,9,Never-married,Adm-clerical,Not-in-family,White,Male,2,0,40,United-States,<=50K
48,Private,106332,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
35,Private,124484,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,4,0,40,United-States,<=50K
24,Private,160273,HS-grad,10,Never-married,Adm-clerical,Not-in-family,White,Male,34,0,40,United-States,<=50K
42,Private,159787,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
31,Private,128454,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,4,0,40,United-States,<=50K
37,Private,112427,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,139381,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,126933,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
28,Private,136800,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,136046,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,16,0,40,United-States,<=50K
